,index,NOM_MUN,NOM_LOC,LOC,POBTOT,GRAPROES,PEA,PDESOCUP,PSINDER
0,3,Abasolo,Total del Municipio,0,2974,9.45,1130,37,141
1,20,Agualeguas,Total del Municipio,0,3382,8.12,1322,20,328
2,85,Los Aldamas,Total del Municipio,0,1407,7.07,535,11,320
3,104,Allende,Total del Municipio,0,35289,9.19,17028,134,4420
4,172,Anáhuac,Total del Municipio,0,18030,8.57,7824,100,2626
5,385,Apodaca,Total del Municipio,0,656464,11.35,338246,5971,103346
6,449,Aramberri,Total del Municipio,0,14992,7.52,6217,68,1366
7,633,Bustamante,Total del Municipio,0,3661,8.84,1395,26,271
8,679,Cadereyta Jiménez,Total del Municipio,0,122337,9.35,58878,966,26164
9,968,El Carmen,Total del Municipio,0,104478,9.4,48276,1309,23156
10,996,Cerralvo,Total del Municipio,0,7340,8.09,3186,38,969
11,1075,Ciénega de Flores,Total del Municipio,0,68747,9.33,33220,907,13847
12,1113,China,Total del Municipio,0,9930,7.91,4433,94,1487
13,1348,Doctor Arroyo,Total del Municipio,0,36088,7.45,15087,179,3617
14,1601,Doctor Coss,Total del Municipio,0,1360,7.32,447,18,238
15,1661,Doctor González,Total del Municipio,0,3256,7.93,1136,15,184
16,1742,Galeana,Total del Municipio,0,40903,7.88,16469,324,4902
17,2062,García,Total del Municipio,0,397205,10.31,193318,3461,82375
18,2155,San Pedro Garza García,Total del Municipio,0,132169,13.16,66561,841,15235
19,2164,General Bravo,Total del Municipio,0,5506,8.23,2367,39,1673
20,2265,General Escobedo,Total del Municipio,0,481213,10.45,240759,5112,103516
21,2289,General Terán,Total del Municipio,0,14109,8.08,5948,50,2252
22,2556,General Treviño,Total del Municipio,0,1808,8.17,519,4,239
23,2581,General Zaragoza,Total del Municipio,0,6282,7.96,2293,23,782
24,2691,General Zuazua,Total del Municipio,0,102149,9.71,50278,865,18241
25,2751,Guadalupe,Total del Municipio,0,643143,11.08,321854,6569,124452
26,2762,Los Herreras,Total del Municipio,0,1959,7.51,666,24,157
27,2794,Higueras,Total del Municipio,0,1386,8.56,559,11,220
28,2828,Hualahuises,Total del Municipio,0,7026,9.07,2734,39,849
29,2894,Iturbide,Total del Municipio,0,3298,7.62,1197,95,224
30,2952,Juárez,Total del Municipio,0,471523,9.88,231559,4529,105494
31,3057,Lampazos de Naranjo,Total del Municipio,0,5351,8.31,2258,35,615
32,3093,Linares,Total del Municipio,0,84666,9.44,38712,846,9717
33,3526,Marín,Total del Municipio,0,5119,8.88,2230,35,769
34,3560,Melchor Ocampo,Total del Municipio,0,1483,8.53,576,34,115
35,3574,Mier y Noriega,Total del Municipio,0,7652,6.59,2356,93,541
36,3602,Mina,Total del Municipio,0,6048,8.35,2491,50,821
37,3657,Montemorelos,Total del Municipio,0,67428,9.71,32734,355,9523
38,4068,Monterrey,Total del Municipio,0,1142994,11.47,575178,10826,225011
39,4078,Parás,Total del Municipio,0,906,8.56,331,5,109
40,4108,Pesquería,Total del Municipio,0,147624,9.44,75016,1299,27944
41,4230,Los Ramones,Total del Municipio,0,5389,7.37,2213,71,1809
42,4349,Rayones,Total del Municipio,0,2377,6.66,912,15,176
43,4432,Sabinas Hidalgo,Total del Municipio,0,34709,9.69,16396,214,4283
44,4510,Salinas Victoria,Total del Municipio,0,86766,9.43,43084,626,19052
45,4687,San Nicolás de los Garza,Total del Municipio,0,412199,11.92,204861,4626,63754
46,4689,Hidalgo,Total del Municipio,0,16086,9.6,7470,212,1955
47,4698,Santa Catarina,Total del Municipio,0,306322,10.66,155536,3069,55606
48,4749,Santiago,Total del Municipio,0,46784,10.31,22133,213,7363
49,4883,Vallecillo,Total del Municipio,0,1552,7.15,652,8,145
50,4942,Villaldama,Total del Municipio,0,3573,8.96,1423,43,265
