Seccion,Casilla,Eleccion,Municipio,Distrito,Estatus,LN,Total,Partido Acción Nacional,Partido Revolucionario Institucional,Partido de la Revolución Democrática,Partido del Trabajo,Partido Verde Ecologista de México,Movimiento Ciudadano,Nueva Alianza Partido Político Nacional,Partido Demócrata,Partido Cruzada Ciudadana,MORENA,Partido Humanista  Partido Político Nacional,Partido Político Nacional  Encuentro Social,Candidato Independiente,Combinación PRI PVEM NA PD,Combinación PRI PVEM NA,Combinación PRI PVEM PD,Combinación PRI NA PD,Combinación PVEM NA PD,Combinación PRI PVEM,Combinación PRI NA,Combinación PRI PD,Combinación PVEM NA,Combinación PVEM PD,Combinación NA PD,Combinación PRD PT,Votos Anulados
1,BASICA,Ayuntamiento,Abasolo,20,Acta contabilizada,410,336,10,74,88,4,35,118,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,CONTIGUA 1,Ayuntamiento,Abasolo,20,Acta contabilizada,410,335,7,101,99,1,21,98,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2,BASICA,Ayuntamiento,Abasolo,20,Acta contabilizada,695,555,21,149,188,5,33,134,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
2,CONTIGUA 1,Ayuntamiento,Abasolo,20,Acta contabilizada,695,548,18,161,179,5,32,136,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
3,BASICA,Ayuntamiento,Agualeguas,22,Acta contabilizada,419,322,133,115,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,CONTIGUA 1,Ayuntamiento,Agualeguas,22,Acta contabilizada,419,318,158,89,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
4,BASICA,Ayuntamiento,Agualeguas,22,Acta contabilizada,433,326,158,100,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5,BASICA,Ayuntamiento,Agualeguas,22,Acta contabilizada,515,402,185,121,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
6,BASICA,Ayuntamiento,Agualeguas,22,Acta contabilizada,559,403,169,94,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
7,BASICA,Ayuntamiento,Agualeguas,22,Acta contabilizada,202,130,39,22,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
8,BASICA,Ayuntamiento,Agualeguas,22,Acta contabilizada,337,249,78,93,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
9,BASICA,Ayuntamiento,Agualeguas,22,Acta contabilizada,337,236,126,7,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,BASICA,Ayuntamiento,Agualeguas,22,Acta contabilizada,374,274,89,69,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
11,BASICA,Ayuntamiento,Agualeguas,22,Acta contabilizada,197,132,67,32,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
12,BASICA,Ayuntamiento,Los Aldamas,22,Acta contabilizada,417,314,73,167,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,BASICA,Ayuntamiento,Los Aldamas,22,Acta contabilizada,531,365,96,213,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
15,BASICA,Ayuntamiento,Los Aldamas,22,Acta contabilizada,387,278,172,65,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,BASICA,Ayuntamiento,Los Aldamas,22,Acta contabilizada,501,286,90,131,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,BASICA,Ayuntamiento,Los Aldamas,22,Acta contabilizada,378,258,114,70,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,BASICA,Ayuntamiento,Allende,24,Acta contabilizada,647,393,227,128,0,4,6,6,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
20,CONTIGUA 1,Ayuntamiento,Allende,24,Acta contabilizada,646,386,222,133,0,5,3,6,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
20,CONTIGUA 2,Ayuntamiento,Allende,24,Acta contabilizada,646,371,205,134,0,6,8,5,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
20,CONTIGUA 3,Ayuntamiento,Allende,24,Acta contabilizada,646,381,239,124,0,5,2,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
20,CONTIGUA 4,Ayuntamiento,Allende,24,Acta contabilizada,646,358,213,112,0,2,10,5,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
20,CONTIGUA 5,Ayuntamiento,Allende,24,Acta contabilizada,646,377,201,149,0,6,6,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
20,CONTIGUA 6,Ayuntamiento,Allende,24,Acta contabilizada,646,362,176,150,0,6,6,8,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
21,BASICA,Ayuntamiento,Allende,24,Acta contabilizada,584,335,200,110,0,3,4,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
21,CONTIGUA 1,Ayuntamiento,Allende,24,Acta contabilizada,584,327,184,106,0,5,9,6,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
21,CONTIGUA 2,Ayuntamiento,Allende,24,Acta contabilizada,584,284,169,91,0,2,5,4,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
21,CONTIGUA 3,Ayuntamiento,Allende,24,Acta contabilizada,583,336,193,103,0,4,11,2,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
22,BASICA,Ayuntamiento,Allende,24,Acta contabilizada,744,417,218,158,0,4,9,5,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
22,CONTIGUA 1,Ayuntamiento,Allende,24,Acta contabilizada,743,427,253,140,0,3,16,4,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
23,BASICA,Ayuntamiento,Allende,24,Acta contabilizada,662,400,213,153,0,5,11,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
23,CONTIGUA 1,Ayuntamiento,Allende,24,Acta contabilizada,661,416,198,179,0,2,14,4,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
24,BASICA,Ayuntamiento,Allende,24,Acta contabilizada,719,475,280,175,0,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25,BASICA,Ayuntamiento,Allende,24,Acta contabilizada,717,471,268,186,0,3,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
25,CONTIGUA 1,Ayuntamiento,Allende,24,Acta contabilizada,717,504,309,169,0,2,8,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
26,BASICA,Ayuntamiento,Allende,24,Acta contabilizada,735,536,344,175,0,3,5,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
26,CONTIGUA 1,Ayuntamiento,Allende,24,Acta contabilizada,735,518,287,211,0,1,0,11,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
