LATITUD,LONGITUD,ID
25.81,-100.48,19001
26.43,-99.57,19002
26.28,-99.36,19003
25.42,-100.25,19004
27.39,-100.32,19005
25.71,-100.36,19006
24.31,-99.74,19007
26.57,-100.55,19008
25.6,-100.25,19009
25.8,-100.46,19010
26.3,-99.61,19011
25.82,-100.35,19012
25.67,-99.39,19013
23.65,-100.35,19014
25.8,-99.36,19015
25.76,-99.81,19016
24.74,-100.29,19017
25.73,-100.6,19018
25.64,-100.49,19019
25.72,-99.35,19020
25.73,-100.44,19021
25.4,-99.66,19022
26.38,-99.54,19023
23.83,-99.71,19024
25.78,-100.31,19025
25.65,-100.4,19026
25.79,-99.49,19027
25.82,-100.25,19028
24.78,-99.65,19029
24.68,-99.79,19030
25.55,-100.3,19031
27.26,-100.55,19032
24.76,-99.59,19033
25.77,-100.27,19034
26.28,-99.57,19035
23.5,-100.32,19036
26.25,-100.56,19037
25.36,-99.74,19038
25.64,-100.43,19039
26.54,-99.56,19040
25.71,-100.28,19041
25.66,-99.62,19042
25.26,-100.29,19043
26.54,-100.35,19044
25.82,-100.42,19045
25.7,-100.42,19046
25.83,-100.51,19047
25.65,-100.52,19048
25.5,-100.34,19049
26.64,-99.84,19050
26.54,-100.5,19051
