Núm.,Indicador,Descripción,Mnemónico,Rangos,Longitud
1,Clave de entidad federativa,Código que identifica a la entidad federativa. El código 00 identifica a los registros con los totales a nivel nacional.,ENTIDAD,00…32,2
2,Entidad federativa,Nombre oficial de la entidad federativa.,NOM_ENT ,Alfanumérico,50
3,Clave de municipio o demarcación territorial,"Código que identifica al municipio o demarcación territorial al interior de una entidad federativa, conforme al Marco Geoestadístico. El código 000 identifica a los registros con los totales a nivel de entidad federativa.",MUN,000…570,3
4,Municipio o demarcación territorial,Nombre oficial del municipio o demarcación territorial en el caso de la Ciudad de México.,NOM_MUN   ,Alfanumérico,50
5,Clave de localidad,Código que identifica a la localidad al interior de cada municipio o demarcación territorial conforme al Marco Geoestadístico. El código 0000 identifica a los registros con los totales a nivel de municipio o demarcación territorial.,LOC,0000…9999,4
6,Localidad,Nombre con el que se reconoce a la localidad dado por la ley o la costumbre.,NOM_LOC ,Alfanumérico,70
7,Longitud,"Ubicación de la localidad expresada en grados, minutos, segundos y milésimas de segundo. Las primeras tres o cuatro posiciones corresponden a los grados y su símbolo; las siguientes tres posiciones indican los minutos y su símbolo y las siguientes 8 posiciones corresponden a los segundos, sus milésimas separados por un punto y su símbolo, la última posición indica que es la longitud situada al Oeste del meridiano de Greenwich (W).",LONGITUD ,Caracter,16
8,Latitud,"Ubicación de la localidad expresada en grados, minutos, segundos y milésimas de segundo. Las primeras tres posiciones corresponden a los grados y su símbolo; las siguientes tres posiciones indican los minutos y su símbolo y las siguientes 8 posiciones corresponden a los segundos, sus milésimas separados por un punto y su símbolo, la última posición indica que es la latitud situada al norte del ecuador (N).",LATITUD,Caracter,15
9,Altitud,"Altura a la que se encuentra una localidad, respecto al nivel medio del mar, expresada en metros.",ALTITUD,Caracter,4
1,Población total,"Total de personas que residen habitualmente en el país, la entidad federativa, el municipio o la demarcación territorial y la localidad. Incluye la estimación del número de personas en viviendas particulares sin información de ocupantes. Incluye a la población que no especificó su edad.",POBTOT,0...999999999,9
2,Población femenina,"Total de mujeres que residen habitualmente en el país, la entidad federativa, el municipio o la demarcación territorial y la localidad. Incluye la estimación del número de mujeres en viviendas particulares sin información de ocupantes. Incluye a la población que no especificó su edad.",POBFEM,0...999999999,9
3,Población masculina,"Total de hombres que residen habitualmente en el país, la entidad federativa, el municipio o la demarcación territorial y la localidad. Incluye la estimación del número de hombres en viviendas particulares sin información de ocupantes. Incluye a la población que no especificó su edad.",POBMAS,0...999999999,9
4,Población de 0 a 2 años,Personas de 0 a 2 años de edad.,P_0A2,0…999999999,9
5,Población femenina de 0 a 2 años,Mujeres de 0 a 2 años de edad.,P_0A2_F,"0.,.999999999",9
6,Población masculina de 0 a 2 años,Hombres de 0 a 2 años de edad.,P_0A2_M,0...999999999,9
7,Población de 3 años y más,Personas de 3 a 130 años de edad.,P_3YMAS,0...999999999,9
