 CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_MUNICIPIO,MUNICIPIO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PANAL,PES,RSP,FXM,C_PRI_PRD,C_PVEM_PT_MORENA_PANAL,C_PVEM_PT_MORENA,C_PVEM_PT_PANAL,C_PVEM_MORENA_PANAL,C_PT_MORENA_PANAL,C_PVEM_PT,C_PVEM_MORENA,C_PVEM_PANAL,C_PT_MORENA,C_PT_PANAL,C_MORENA_PANAL,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
190001B0100,190001B01002,19,NUEVO LEON,1,Abasolo,20,DISTRITO 20,1,1,B,0,2,2,,,,,140,57,4,47,19,131,15,5,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,,426,517,12, Por MAC,1,D,,,9/6/2021 9:33,,,,-
190001C0100,190001C01002,19,NUEVO LEON,1,Abasolo,20,DISTRITO 20,1,1,C,0,2,2,,,,,109,31,4,61,11,145,20,7,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,9,,407,516,12, Por MAC,1,D,,,9/6/2021 9:36,,,,-
190002B0100,190002B01002,19,NUEVO LEON,1,Abasolo,20,DISTRITO 20,2,1,B,0,2,2,,,,,122,90,6,57,20,243,36,6,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,604,740,12, Por MAC,1,D,,,9/6/2021 9:39,,,,-
190002C0100,190002C01002,19,NUEVO LEON,1,Abasolo,20,DISTRITO 20,2,1,C,0,2,2,,,,,112,77,4,67,21,244,31,2,6,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,577,739,12, Por MAC,1,D,,,9/6/2021 9:41,,,,-
190003B0100,190003B01002,19,NUEVO LEON,2,Agualeguas,21,DISTRITO 21,3,1,B,0,2,2,,,,,166,46,1,1,0,84,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,,317,435,12, Por MAC,1,D,,,9/6/2021 10:23,,,,-
190003C0100,190003C01002,19,NUEVO LEON,2,Agualeguas,21,DISTRITO 21,3,1,C,0,2,2,,,,,175,39,0,2,2,64,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,315,435,12, Por MAC,1,D,,,9/6/2021 10:25,,,,-
190004B0100,190004B01002,19,NUEVO LEON,2,Agualeguas,21,DISTRITO 21,4,1,B,0,2,2,,,,,206,28,2,1,0,70,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,,318,464,12, Por MAC,1,D,,,9/6/2021 10:26,,,,-
190005B0100,190005B01002,19,NUEVO LEON,2,Agualeguas,21,DISTRITO 21,5,1,B,0,2,2,,,,,246,76,0,0,0,84,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,431,598,12, Por MAC,1,D,,,9/6/2021 10:27,,,,-
190006B0100,190006B01002,19,NUEVO LEON,2,Agualeguas,21,DISTRITO 21,6,1,B,0,1,2,,,,,210,70,0,0,0,86,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,399,604,12, Por MAC,1,D,,,9/6/2021 10:28,,,,-
190007B0100,190007B01002,19,NUEVO LEON,2,Agualeguas,21,DISTRITO 21,7,1,B,0,2,2,0,,,,43,12,1,2,0,64,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,137,249,12, Por Consejo CEE,1,D,,,12/6/2021 7:35,,,,-
190008B0100,190008B01002,19,NUEVO LEON,2,Agualeguas,21,DISTRITO 21,8,1,B,0,2,2,0,,,,135,25,0,0,0,87,39,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,,303,400,12, Por Consejo CEE,1,D,,,12/6/2021 7:36,,,,-
190009B0100,190009B01002,19,NUEVO LEON,2,Agualeguas,21,DISTRITO 21,9,1,B,0,2,2,0,,,,144,4,0,1,0,80,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,237,373,12, Por Consejo CEE,1,D,,,12/6/2021 7:37,,,,-
190010B0100,190010B01002,19,NUEVO LEON,2,Agualeguas,21,DISTRITO 21,10,1,B,0,2,2,,,,,137,33,0,2,1,93,15,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,,306,400,12, Por MAC,1,D,,,9/6/2021 10:31,,,,-
190011B0100,190011B01002,19,NUEVO LEON,2,Agualeguas,21,DISTRITO 21,11,1,B,0,2,2,,,,,53,7,0,0,1,66,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,135,189,12, Por MAC,1,D,,,9/6/2021 10:32,,,,-
190012B0100,190012B01002,19,NUEVO LEON,3,Los Aldamas,24,DISTRITO 24,12,1,B,0,1,2,,,,,8,134,0,2,3,92,10,23,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,281,400,12, Por MAC,1,I,,,9/6/2021 9:52,,,,-
190013B0100,190013B01002,19,NUEVO LEON,3,Los Aldamas,24,DISTRITO 24,13,1,B,0,2,2,0,,,,20,157,0,3,0,141,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,354,529,12, Por Consejo CEE,1,I,,,12/6/2021 8:45,,,,-
190015B0100,190015B01002,19,NUEVO LEON,3,Los Aldamas,24,DISTRITO 24,15,1,B,0,2,2,,,,,18,72,5,0,0,137,4,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,4,,244,368,12, Por MAC,1,I,,,9/6/2021 10:01,,,,-
190016B0100,190016B01002,19,NUEVO LEON,3,Los Aldamas,24,DISTRITO 24,16,1,B,0,2,2,0,,,,11,100,2,1,3,105,10,14,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,,258,439,12, Por Recuento,1,I,,,12/6/2021 14:05,,,,-
190017B0100,190017B01002,19,NUEVO LEON,3,Los Aldamas,24,DISTRITO 24,17,1,B,0,2,2,,,,,10,90,1,1,0,108,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,228,340,12, Por MAC,1,I,,,9/6/2021 10:10,,,,-
190020B0100,190020B01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,20,1,B,0,1,2,,,,,73,84,1,5,4,70,18,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,281,700,12, Por MAC,1,D,,,9/6/2021 11:05,,,,-
190020C0100,190020C01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,20,1,C,0,1,2,,,,,63,95,1,1,4,77,14,3,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,,268,700,12, Por MAC,1,D,,,9/6/2021 11:07,,,,-
190020C0200,190020C02002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,20,2,C,0,1,2,,,,,57,81,2,1,6,92,25,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,290,700,12, Por MAC,1,D,,,9/6/2021 11:10,,,,-
190020C0300,190020C03002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,20,3,C,0,1,2,,,,,51,77,3,6,3,110,13,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,284,700,12, Por MAC,1,D,,,9/6/2021 11:17,,,,-
190020C0400,190020C04002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,20,4,C,0,1,2,,,,,67,68,1,1,4,94,18,5,0,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,,282,700,12, Por MAC,1,D,,,9/6/2021 11:18,,,,-
190020C0500,190020C05002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,20,5,C,0,1,2,0,,,,61,82,0,2,5,83,19,6,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,278,700,12, Por Recuento,1,D,,,12/6/2021 14:13,,,,-
190020C0600,190020C06002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,20,6,C,0,1,2,,,,,59,66,2,5,5,117,21,0,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,290,700,12, Por MAC,1,D,,,9/6/2021 11:38,,,,-
190020C0700,190020C07002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,20,7,C,0,1,2,,,,,49,83,2,4,4,75,17,8,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,,256,700,12, Por MAC,1,D,,,9/6/2021 11:42,,,,-
190021B0100,190021B01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,21,1,B,0,1,2,,,,,50,95,2,7,4,127,23,3,0,6,0,1,1,0,0,0,0,0,0,0,0,0,1,0,4,,324,681,12, Por MAC,1,D,,,9/6/2021 11:44,,,,-
190021C0100,190021C01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,21,1,C,0,1,2,0,,,,67,94,2,7,3,91,22,11,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,10,,312,680,12, Por Recuento,1,D,,,12/6/2021 14:58,,,,-
190021C0200,190021C02002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,21,2,C,0,1,2,,,,,56,75,1,3,2,86,17,4,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,,257,680,12, Por MAC,1,D,,,9/6/2021 11:49,,,,-
190021C0300,190021C03002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,21,3,C,0,1,2,,,,,52,96,2,2,5,63,15,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,,254,680,12, Por MAC,1,D,,,9/6/2021 11:51,,,,-
190022B0100,190022B01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,22,1,B,0,1,2,,,,,32,102,0,1,0,71,11,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,228,520,12, Por MAC,1,D,,,9/6/2021 11:52,,,,-
190022C0100,190022C01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,22,1,C,0,1,2,,,,,24,85,1,4,4,57,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,203,520,12, Por MAC,1,D,,,9/6/2021 11:54,,,,-
190022C0200,190022C02002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,22,2,C,0,1,2,,,,,32,77,1,1,5,46,23,7,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200,519,12, Por MAC,1,D,,,9/6/2021 11:55,,,,-
190023B0100,190023B01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,23,1,B,0,1,2,,,,,64,138,0,5,1,91,22,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,329,689,12, Por MAC,1,D,,,9/6/2021 11:57,,,,-
190023C0100,190023C01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,23,1,C,0,1,2,,,,,42,120,1,1,3,106,23,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,305,688,12, Por MAC,1,D,,,9/6/2021 11:58,,,,-
190024B0100,190024B01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,24,1,B,0,1,2,,,,,69,193,1,3,2,121,11,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,413,718,12, Por MAC,1,D,,,9/6/2021 12:00,,,,-
190025B0100,190025B01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,25,1,B,0,1,2,,,,,43,167,1,0,3,104,18,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,345,527,12, Por MAC,1,D,,,9/6/2021 12:02,,,,-
190025C0100,190025C01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,25,1,C,0,1,2,,,,,54,126,1,6,3,112,18,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,,326,527,12, Por MAC,1,D,,,9/6/2021 12:03,,,,-
190025C0200,190025C02002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,25,2,C,0,1,2,,,,,60,156,2,3,2,93,12,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,,339,526,12, Por MAC,1,D,,,9/6/2021 12:06,,,,-
190026B0100,190026B01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,26,1,B,0,1,2,,,,,57,172,0,2,0,97,15,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,355,549,12, Por MAC,1,D,,,9/6/2021 12:07,,,,-
190026C0100,190026C01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,26,1,C,0,1,2,,,,,55,130,1,1,1,104,13,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,315,548,12, Por MAC,1,D,,,9/6/2021 12:09,,,,-
190026C0200,190026C02002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,26,2,C,0,1,2,,,,,67,156,0,0,0,106,18,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,353,548,12, Por MAC,1,D,,,9/6/2021 12:11,,,,-
190027B0100,190027B01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,27,1,B,0,1,2,,,,,48,111,0,2,0,82,12,0,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,6,,268,457,12, Por MAC,1,D,,,9/6/2021 12:12,,,,-
190027C0100,190027C01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,27,1,C,0,1,2,,,,,26,111,0,0,2,85,15,1,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,,248,457,12, Por MAC,1,D,,,9/6/2021 12:14,,,,-
190028B0100,190028B01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,28,1,B,0,1,2,,,,,48,109,2,3,1,95,27,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,292,614,12, Por MAC,1,D,,,9/6/2021 12:16,,,,-
190028C0100,190028C01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,28,1,C,0,1,2,,,,,63,109,1,0,3,100,15,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,299,614,12, Por MAC,1,D,,,9/6/2021 12:17,,,,-
190028C0200,190028C02002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,28,2,C,0,1,2,,,,,31,107,0,2,2,99,15,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,271,614,12, Por MAC,1,D,,,9/6/2021 12:19,,,,-
190028C0300,190028C03002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,28,3,C,0,1,2,,,,,52,120,2,4,2,107,18,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,308,613,12, Por MAC,1,D,,,9/6/2021 12:20,,,,-
190029B0100,190029B01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,29,1,B,0,2,2,,,,,58,87,2,3,4,112,37,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,316,739,12, Por MAC,1,I,,,9/6/2021 12:22,,,,-
190029C0100,190029C01002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,29,1,C,0,2,2,,,,,54,99,2,4,4,113,23,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,,313,739,12, Por MAC,1,I,,,9/6/2021 12:24,,,,-
190029C0200,190029C02002,19,NUEVO LEON,4,Allende,26,DISTRITO 26,29,2,C,0,2,2,,,,,40,107,1,3,5,90,21,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,282,739,12, Por MAC,1,I,,,9/6/2021 12:25,,,,-
