MUNICIPIO,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,NAPPN,MORENA,PES,RED,C_PRI_PVEM,C_PT_MORENA_PES,C_PT_MORENA,C_PT_PES,C_MORENA_PES,CI_1,CI_2,CI_3,CI_4,CI_5,CI_6,CNR,Votos Anulados,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA
Abasolo,0,0,0,0,119,440,31,33,18,436,34,23,5,98,2,2,0,0,0,438,0,0,0,0,0,1,54,0.0,1734,2288,78,0.0,4
Agualeguas,0,0,0,0,1216,1074,0,0,1,601,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0.0,2938,3965,181,0.0,10
Allende,0,0,0,0,4633,4764,0,431,90,2039,1038,833,77,0,0,50,17,4,5,0,0,0,0,0,0,1,376,0.0,14358,27284,877,0.0,46
Anahuac,0,0,0,0,1582,3280,32,62,56,851,25,240,8,0,0,7,7,0,0,2781,0,0,0,0,0,0,287,0.0,9218,14525,494,0.0,27
Apodaca,0,0,0,0,50330,69818,1480,5883,5958,10756,4914,41643,2349,0,0,703,404,45,186,20989,0,0,0,0,0,64,4059,0.0,219581,403094,9977,0.0,688
Aramberri,0,0,0,0,3611,4523,0,63,43,12,23,93,14,0,0,4,3,0,4,964,0,0,0,0,0,5,334,0.0,9696,12010,467,0.0,28
Bustamante,0,0,0,0,1050,116,0,1,27,0,1360,28,3,0,0,4,0,0,0,0,0,0,0,0,0,0,43,0.0,2632,3293,79,0.0,5
Cadereyta Jimenez,0,0,0,0,3973,3400,0,2127,8990,950,900,7647,511,0,757,557,161,24,70,521,4312,3514,0,0,0,18,947,0.0,39379,77542,3012,0.0,131
Cerralvo,0,0,0,0,2667,137,0,82,5,23,21,397,21,0,0,13,15,2,3,633,0,0,0,0,0,0,95,0.0,4114,6507,204,0.0,12
China,0,0,0,0,1534,1038,0,0,164,0,1765,0,0,0,0,0,0,0,0,1677,0,0,0,0,0,0,148,0.0,6326,9483,320,0.0,18
Cienega de Flores,0,0,0,0,777,733,132,255,3247,482,1218,1145,160,343,0,45,15,7,8,5872,0,0,0,0,0,1,451,0.0,14891,31320,921,0.0,48
Dr. Arroyo,0,0,0,0,7553,11403,135,147,22,21,68,183,21,0,0,12,11,2,3,1180,0,0,0,0,0,14,860,0.0,21635,28105,1052,0.0,56
Dr. Coss,0,0,0,0,437,660,0,0,14,0,613,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,32,0.0,1784,2717,102,0.0,6
Dr. Gonzalez,0,0,0,0,284,489,99,407,11,56,60,27,5,84,5,7,3,3,0,368,209,0,0,0,0,0,70,0.0,2187,3153,139,0.0,6
El Carmen,0,0,0,0,618,3571,0,2717,820,181,79,945,89,0,690,659,60,15,5,0,0,0,0,0,0,4,189,0.0,10642,22227,519,0.0,33
